lat,lon,value
33.31,-111.84,8
33.64,-112.14,15
33.62,-112.08,2
33.58,-112.4,6
33.74,-111.87,2
33.31,-111.94,5
33.51,-112.29,4
33.52,-111.89,2
33.4,-112.11,1
33.37,-112.04,18
34.56,-113.18,1
33.32,-111.9,9
33.62,-112.24,5
33.85,-112.08,2
32.93,-112.8,1
33.37,-112.06,1
33.55,-112.2,8
33.51,-111.91,11
33.7,-111.93,13
33.39,-112.04,3
33.29,-111.9,17
33.74,-111.95,1
34.29,-110.1,1
33.29,-111.96,1
35.11,-111.7,2
33.4,-112.03,8
33.65,-112.02,2
33.35,-111.99,2
33.65,-111.89,2
33.51,-111.99,2
32.41,-111.06,1
33.35,-111.97,8
33.29,-111.87,11
33.46,-112.3,3
33.35,-111.95,7
33.37,-112.02,1
33.32,-111.92,3
33.08,-112.05,2
33.52,-111.92,2
33.65,-111.99,2
32.52,-111.29,1
33.03,-109.97,3
33.61,-111.98,1
33.61,-112.37,6
34.98,-111.69,1
32.26,-109.88,2
33.44,-112.18,1
33.64,-111.92,1
33.79,-112.12,8
33.58,-111.85,3
33.61,-111.96,36
33.61,-112.35,20
33.35,-111.85,1
33.55,-112.13,3
33.65,-112.06,7
36.96,-111.44,2
33.36,-111.9,2
33.67,-112.04,6
33.61,-111.94,2
33.64,-111.96,3
33.65,-112.04,3
33.67,-112.06,1
33.67,-114.1,1
33.57,-112.07,2
33.61,-112.25,9
33.72,-112.12,4
33.78,-112.12,1
33.41,-112.28,2
33.44,-112.3,5
33.04,-111.79,1
33.73,-112.13,6
33.58,-111.81,20
33.3,-110.46,1
33.65,-112.3,8
33.61,-112.39,22
33.32,-111.88,4
33.58,-112.2,3
33.51,-112.09,12
34.11,-110.14,1
33.38,-112.15,2
32.65,-114.37,1
33.45,-112.13,8
33.57,-112.03,5
33.07,-112.05,17
34.63,-111.82,1
33.38,-111.96,8
33.46,-111.99,16
32.78,-111.68,1
36.91,-113.93,1
33.57,-112.01,4
33.64,-111.98,2
35.27,-112.15,1
33.88,-112.17,4
32.24,-110.69,8
33.32,-112.43,1
32.7,-114.53,1
33.43,-112.24,1
33.46,-111.97,2
35.14,-114.1,1
33.45,-112.01,1
33.27,-111.88,14
33.72,-112.18,10
33.57,-112.11,64
33.46,-111.91,7
33.51,-112.15,7
33.45,-112.21,1
33.57,-112.13,20
33.51,-112.13,225
33.44,-112,6
33.62,-114.44,1
33.74,-112.11,4
33.41,-112.4,4
33.58,-111.97,2
33.63,-114.39,2
33.27,-111.8,9
34.29,-110.07,1
31.71,-110.07,1
33.47,-111.92,5
33.41,-111.89,17
31.4,-110.11,3
33.43,-112.2,3
33.45,-112.4,3
33.74,-112.21,2
33.27,-111.86,7
33.35,-110.67,2
33.47,-111.9,13
32.83,-111.69,1
33.57,-111.89,3
33.48,-112.88,1
33.45,-112.3,2
35.36,-109.05,2
33.59,-112.33,19
33.32,-111.82,5
34.94,-111.66,1
33.45,-112.32,2
31.95,-110.93,1
34.18,-114.23,10
33.41,-112.54,2
33.59,-112.35,3
36.93,-111.48,1
33.57,-111.95,3
33.45,-112.34,5
33.4,-111.93,21
33.74,-112.13,3
34.08,-111.36,2
33.49,-112.4,35
33.51,-112.05,7
33.2,-111.8,5
33.52,-112.13,17
33.66,-112.12,24
33.65,-112.1,2
33.51,-112.07,5
33.52,-112.11,10
33.5,-112.11,1
33.6,-112.18,4
33.37,-112.21,1
34.12,-112.15,2
33.53,-112.23,19
33.48,-111.78,2
33.57,-111.87,4
33.32,-111.86,4
33.5,-112.13,4
34.67,-111.95,2
31.95,-110.97,1
33.44,-111.94,4
33.43,-111.95,11
33.16,-112.65,1
34.3,-112.13,1
33.39,-112,47
33.5,-112.23,49
33.5,-112.01,1
33.51,-112.19,5
33.12,-111.98,1
32.85,-111.98,1
33.52,-112.21,5
33.57,-112.23,2
36.92,-111.47,2
33.5,-112.07,4
34.25,-110.03,3
33.52,-112.05,13
33.15,-111.45,3
33.53,-112.35,15
33.5,-112.05,17
33.59,-112.39,6
33.66,-112.1,4
34.25,-110.05,1
33.56,-112.23,2
33.61,-113.63,1
33.5,-112.09,9
33.48,-112.3,7
36.6,-111.52,1
32.76,-113.62,1
33.51,-112.04,5
33.48,-111.92,3
33.54,-112.2,6
33.47,-111.96,4
34.86,-111.76,1
33.54,-112.25,1
33.48,-111.9,3
33.39,-112.01,6
33.46,-112.4,2
33.68,-112.13,28
34.69,-112.25,4
33.48,-112.04,40
33.48,-112.22,11
33.46,-112.42,2
33.15,-111.43,2
33.76,-112.47,1
33.51,-113.05,2
33.69,-111.98,1
33.48,-112.24,11
33.3,-111.87,3
33.39,-112.11,20
33.58,-113.47,1
33.48,-112.26,5
33.3,-111.85,19
33.32,-111.62,1
34.9,-110.22,1
33.57,-112.31,8
33.14,-112.01,1
33.56,-112.11,7
33.59,-111.78,1
33.39,-111.99,3
33.49,-112.38,21
33.5,-111.89,1
34.79,-111.6,1
33.29,-112.04,8
33.3,-111.95,1
36.41,-109.84,5
34.24,-109.35,1
34.13,-109.25,2
33.46,-112.46,7
33.31,-111.97,21
33.3,-111.97,1
33.43,-112,90
34.06,-111.36,1
33.67,-111.93,6
32.38,-111.12,1
33.59,-112.16,1
33.44,-112.41,7
33.59,-111.8,2
33.5,-111.97,2
33.63,-112,1
33.63,-112.22,5
35.16,-113.66,1
33.31,-111.83,3
36.88,-113.94,1
34.07,-112.14,1
33.63,-112.02,2
33.63,-112.2,34
33.48,-112.28,2
34.75,-112.12,2
32.97,-111.74,1
33.31,-111.85,9
33.43,-112.34,1
33.7,-111.92,4
33.44,-112.51,1
32.08,-110.79,1
33.38,-112.18,5
33.66,-113.91,1
33.66,-112.3,1
34.68,-112.55,1
33.38,-112.16,12
33.27,-111.99,1
33.67,-111.97,2
33.63,-112.16,3
33.6,-111.86,1
32.1,-111,1
35.16,-113.68,1
35.89,-110.66,1
32.62,-114.68,1
33.49,-112.5,21
33.54,-112.09,10
33.63,-112.14,21
33.54,-112.42,2
33.62,-112.13,14
33.66,-112.06,17
33.63,-112.31,1
33.04,-112.04,1
33.62,-111.93,17
33.63,-112.18,2
31.96,-110.37,1
33.63,-113.77,1
31.37,-109.75,1
33.66,-112.04,3
33.63,-112.33,12
33.35,-111.88,2
33.6,-111.92,2
33.65,-111.98,1
33.68,-112.07,2
33.63,-112.35,1
33.67,-111.99,1
34.6,-112.44,1
33.21,-111.84,13
33.58,-112.11,2
33.72,-112.43,2
33.44,-112.69,1
33.3,-111.99,11
33.54,-111.95,1
33.63,-112.43,36
33.54,-112.07,2
33.62,-111.97,13
33.06,-111.96,1
33.45,-111.99,28
33.04,-112.06,19
33.62,-111.95,12
33.65,-111.94,2
31.58,-110.22,1
33.25,-111.8,8
33.49,-112.36,1
33.39,-111.95,29
